,,Phylum,Class,Order,Family,Genus,,
OTU_15362,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_3816,Oharaeibacter diazotrophicus Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylocystaceae, Oharaeibacter,,
OTU_3815,Desulfuromonas thiophila Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Desulfuromonas,,
OTU_6089,Azoarcus tolulyticus Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Zoogloeaceae, Azoarcus,,
OTU_3813,uncultured Azotobacter sp. Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Azotobacter, environmental samples,
OTU_19671,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_6506,Candidatus Propionivibrio aalborgensis Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_1084,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_18156,Methylomonas methanica Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_5091,Geobacteraceae bacterium GWC2_58_44 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae,,,
OTU_5090,Anaeromyxobacter sp. RBG_16_69_14 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_5721,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_2774,Dechloromonas denitrificans Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Azonexaceae, Dechloromonas,,
OTU_5095,Methanosaeta concilii GP6 Archaea, Euryarchaeota, Methanomicrobia, Methanosarcinales, Methanosaetaceae, Methanosaeta,,
OTU_5724,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_5099,Frankia sp. CjJ14 Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Frankineae, Frankiaceae, Frankia,
OTU_5098,Azoarcus sp. KH32C Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Azoarcus,,
OTU_9074,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_8184,Candidatus Propionivibrio aalborgensis Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_7143,Azospirillum lipoferum 4B Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Azospirillum,,
OTU_15962,Methylomonas sp. LWB Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_8365,uncultured Geobacter sp. Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter, environmental samples,
OTU_3642,Desulfovibrio sp. FW1012B Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio,,
OTU_5947,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_2359,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_5945,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_15968,Clostridium pasteurianum Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium,,
OTU_14568,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_7568,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_20075,Rhodomicrobium vannielii ATCC 17100 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodomicrobium,,
OTU_18231,Geobacter sulfurreducens Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_18232,Paludibacter propionicigenes WB4 Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Paludibacter,,
OTU_8773,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_702,Desulfobacca sp. RBG_16_60_12 Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Desulfobacca,,
OTU_12118,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_18239,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_904,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_5899,Methylomonas sp. DH-1 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_5922,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_6360,Martelella endophytica Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, Martelella,,
OTU_1886,Candidatus Propionivibrio aalborgensis Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_15566,Anaerosporomusa subterranea Bacteria, Firmicutes, Negativicutes, Selenomonadales, Sporomusaceae, Anaerosporomusa,,
OTU_15565,Sporobacter termitidis DSM 10068 Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Sporobacter,,
OTU_17397,Desulfopila aestuarii DSM 18488 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfopila,,
OTU_5890,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_1888,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_2358,Geobacter sp. M21 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_17394,Pseudomonas sagittaria Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_7890,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_5896,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_15761,Bradyrhizobium sp. ORS 285 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_5546,Dechloromonas denitrificans Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Azonexaceae, Dechloromonas,,
OTU_6162,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_15810,Crenothrix sp. D3 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Crenotrichaceae, Crenothrix,,
OTU_5543,Formivibrio citricus Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Chromobacteriaceae, Formivibrio,,
OTU_6489,Burkholderia unamae Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia,,
OTU_1398,Thiocystis violascens DSM 198 Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Thiocystis,,
OTU_6167,uncultured Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, environmental samples,
OTU_1397,Anaeromyxobacter sp. RBG_16_69_14 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_15819,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_8062,Bradyrhizobium sp. BR 10245 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_8192,Methylomonas paludis Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_10731,Dechloromonas denitrificans Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Azonexaceae, Dechloromonas,,
OTU_10735,Opitutaceae bacterium TSB47 Bacteria, Verrucomicrobia, Opitutae, Opitutales, Opitutaceae,,,
OTU_1860,Gallionellales bacterium RIFOXYB12_FULL_54_9 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_10085,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_15582,Pseudomonas oryzae Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_15585,Martelella endophytica Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, Martelella,,
OTU_10082,Anaeromyxobacter sp. Fw109-5 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Anaeromyxobacter,
OTU_6386,Anaerocolumna jejuensis DSM 15929 Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Anaerocolumna,,
OTU_10080,Rhodomicrobium vannielii ATCC 17100 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Rhodomicrobium,,
OTU_4694,Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24 Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, unclassified Rhodocyclales,,,
OTU_2412,Azoarcus sp. KH32C Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Azoarcus,,
OTU_14698,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_9477,Thiocystis violascens DSM 198 Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Thiocystis,,
OTU_9193,Anaeromyxobacter sp. RBG_16_69_14 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_7492,Spirochaeta aurantia Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Spirochaeta,,,
OTU_18526,Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_14691,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_13425,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_827,Coraliomargarita akajimensis DSM 45221 Bacteria, Verrucomicrobia, Opitutae, Puniceicoccales, Puniceicoccaceae, Coraliomargarita,,
OTU_10576,Ectothiorhodospira magna Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae, Ectothiorhodospira,,
OTU_13422,Geobacter metallireducens RCH3 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_13423,Desulfosporosinus orientis DSM 765 Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfosporosinus,,
OTU_906,Desulfuromonadales bacterium GWC2_61_20 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales,,,,
OTU_7165,Lyngbya wollei Bacteria, Cyanobacteria, Oscillatoriales, Lyngbya,,,,
OTU_2770,Geobacter sp. M21 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_13428,Heliobacterium gestii Bacteria, Firmicutes, Clostridia, Clostridiales, Heliobacteriaceae, Heliobacterium,,
OTU_14842,uncultured Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium, environmental samples,
OTU_6704,Desulfuromonas thiophila Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Desulfuromonas,,
OTU_1990,Geobacter metallireducens RCH3 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_15107,Treponema sp. RIFOXYC1_FULL_61_9 Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema,,,
OTU_8536,Desulfovibrio sp. TomC Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio,,
OTU_2289,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_7013,Methylobacter tundripaludum SV96 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylobacter,,
OTU_4070,Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24 Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, unclassified Rhodocyclales,,,
OTU_2285,Desulfobacca sp. RBG_16_60_12 Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Desulfobacca,,
OTU_21851,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_21852,uncultured Rhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Rhizobium, environmental samples
OTU_10426,Desulfuromonas sp. DDH964 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Desulfuromonas,,
OTU_10421,Cupriavidus taiwanensis Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus,,
OTU_2280,Paludibacter propionicigenes WB4 Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Paludibacter,,
OTU_10423,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_7521,Desulfuromonas thiophila Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Desulfuromonas,,
OTU_10887,Pelosinus fermentans DSM 17108 Bacteria, Firmicutes, Negativicutes, Selenomonadales, Sporomusaceae, Pelosinus,,
OTU_10885,Sphaerotilus natans Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Sphaerotilus,,,
OTU_10556,Burkholderiales bacterium GJ-E10 Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales,,,,
OTU_21924,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_10882,Bradyrhizobium sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_10881,Stenotrophomonas maltophilia Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, Stenotrophomonas maltophilia group,
OTU_10552,Ilyobacter polytropus DSM 2926 Bacteria, Fusobacteria, Fusobacteriales, Fusobacteriaceae, Ilyobacter,,,
OTU_13194,Crenothrix sp. D3 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Crenotrichaceae, Crenothrix,,
OTU_3703,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_13197,Pseudomonas sp. IPPW-2 Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_10558,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_2669,Methylocystis bryophila Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylocystaceae, Methylocystis,,
OTU_10888,Sedimenticola thiotaurini Bacteria, Proteobacteria, Gammaproteobacteria, Sedimenticola,,,,
OTU_9025,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_16580,Anaeromyxobacter sp. RBG_16_69_14 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_6339,Burkholderia sp. enrichment culture clone CACua-09 Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, environmental samples,
OTU_21101,Heliobacterium gestii Bacteria, Firmicutes, Clostridia, Clostridiales, Heliobacteriaceae, Heliobacterium,,
OTU_3398,Methylomonas methanica Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_5559,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_17040,Methylomonas sp. DH-1 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_4842,Rubrivivax benzoatilyticus JA2 Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Rubrivivax,,,
OTU_3394,Burkholderia sp. TNe-862 Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia,,
OTU_21383,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_4849,Pseudomonas sagittaria Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_6943,gamma proteobacterium enrichment culture clone GD11.12 Bacteria, Proteobacteria, Gammaproteobacteria, environmental samples,,,,
OTU_3392,Gallionellales bacterium GWA2_60_142 Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales,,,,
OTU_3393,Desulfuromonadaceae bacterium GWB2_53_15 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, unclassified Desulfuromonadaceae,,
OTU_13519,Rhodopseudomonas pseudopalustris Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Rhodopseudomonas,,
OTU_9428,Halothiobacillus sp. LS2 Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Halothiobacillaceae, Halothiobacillus,,
OTU_14181,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_14187,Geobacter uraniireducens Rf4 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_2772,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_18414,Candidatus Adiutrix intracellularis Bacteria, Proteobacteria, Deltaproteobacteria, Candidatus Adiutrix,,,,
OTU_13511,Nitrincola sp. A-D6 Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Nitrincola,,,
OTU_14188,Geobacter pelophilus Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_20692,Geobacter metallireducens RCH3 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_3000,Acidithiobacillus sp. GGI-221 Bacteria, Proteobacteria, Gammaproteobacteria, Acidithiobacillales, Acidithiobacillaceae, Acidithiobacillus,,
OTU_3001,Methylocystis sp. LW5 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylocystaceae, Methylocystis,,
OTU_3002,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_7244,Desulfuromonas thiophila Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Desulfuromonas,,
OTU_19945,Methylomonas sp. LWB Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_14741,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_14966,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_14211,Pelobacter propionicus DSM 2379 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Pelobacteraceae, Pelobacter,,
OTU_14216,Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24 Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, unclassified Rhodocyclales,,,
OTU_2067,uncultured Azospirillum sp. Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Azospirillum, environmental samples,
OTU_14215,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_2069,Sinorhizobium americanum CCGM7 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Sinorhizobium,
OTU_6011,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_7019,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_14219,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_4919,Rhodovulum sp. MB263 Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodovulum,,
OTU_6016,Geobacter metallireducens RCH3 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter,,
OTU_6017,Desulfobulbaceae bacterium BRH_c16a Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae,,,
OTU_3624,Propionispora sp. 2/2-37 Bacteria, Firmicutes, Negativicutes, Selenomonadales, Sporomusaceae, Propionispora,,
OTU_2610,Pelosinus sp. UFO1 Bacteria, Firmicutes, Negativicutes, Selenomonadales, Veillonellaceae, Pelosinus,,
OTU_2718,Desulfuromonas thiophila Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Desulfuromonas,,
OTU_1536,Methylobacter tundripaludum SV96 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylobacter,,
OTU_13991,Desulfuromonas sp. DDH964 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Desulfuromonas,,
OTU_1534,Methylomonas sp. LWB Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylomonas,,
OTU_13777,Pseudomonas oryzae Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,,
OTU_13778,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_2712,Methylosinus sp. 3S-1 Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylocystaceae, Methylosinus,,
OTU_2711,Methanosaeta concilii GP6 Archaea, Euryarchaeota, Methanomicrobia, Methanosarcinales, Methanosaetaceae, Methanosaeta,,
OTU_2265,Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24 Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, unclassified Rhodocyclales,,,
OTU_123,Marinospirillum alkaliphilum DSM 21637 Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Marinospirillum,,,
OTU_13999,Desulfuromonas thiophila Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Desulfuromonadaceae, Desulfuromonas,,
OTU_121,Desulfopila aestuarii DSM 18488 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfopila,,
OTU_7942,Methylocella palustris Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Methylocella,,
OTU_13280,Propionivibrio dicarboxylicus Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_8606,Leptolyngbya sp. CENA375 Bacteria, Cyanobacteria, Synechococcales, Leptolyngbyaceae, Leptolyngbya,,,
OTU_14988,Desulfonatronum thiosulfatophilum Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfonatronaceae, Desulfonatronum,,
OTU_19938,Methyloglobulus morosus KoM1 Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methyloglobulus,,
OTU_13285,Azospirillum thiophilum Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Azospirillum,,
OTU_2401,Anaeromyxobacter sp. PSR-1 Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter,
OTU_13287,Candidatus Propionivibrio aalborgensis Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio,,
OTU_10951,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
OTU_13289,Rhodocyclales bacterium RIFCSPLOWO2_02_FULL_63_24 Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, unclassified Rhodocyclales,,,
OTU_9823,Desulfobulbaceae bacterium DB1 Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae,,,
OTU_14986,Desulfobulbus alkaliphilus Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfobulbus,,
OTU_404,Bradyrhizobium japonicum Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium,,
